-0.86142	2.27968	1
-0.876412	2.26539	1
-0.891232	2.251	1
-0.905505	2.23558	1
-0.919974	2.22101	1
-0.93466	2.20727	1
-0.94879	2.19252	1
-0.96315	2.1786	1
-0.977351	2.16459	1
-0.991391	2.15049	1
-1.00527	2.13631	1
-1.01899	2.12204	1
-1.03298	2.10858	1
-1.04683	2.09503	1
-1.06053	2.0814	1
-1.07408	2.06769	1
-1.08748	2.05388	1
-1.1012	2.04088	1
-1.1143	2.02691	1
-1.12775	2.01373	1
-1.14105	2.00047	1
-1.15421	1.98713	1
-1.16724	1.9737	1
-1.18064	1.96104	1
-1.19392	1.9483	1
-1.20654	1.93462	1
-1.21955	1.92171	1
-1.23244	1.90871	1
-1.24574	1.89646	1
-1.25838	1.88329	1
-1.27088	1.87004	1
-1.28382	1.85754	1
-1.29665	1.84494	1
-1.30935	1.83226	1
-1.32194	1.81949	1
-1.33441	1.80664	1
-1.34735	1.79451	1
-1.35959	1.78149	1
-1.37231	1.76917	1
-1.38493	1.75677	1
-1.39743	1.74428	1
-1.40982	1.7317	1
-1.42211	1.71903	1
-1.43492	1.70704	1
-1.44698	1.6942	1
-1.45959	1.68203	1
-1.47209	1.66976	1
-1.4845	1.6574	1
-1.49679	1.64496	1
-1.50899	1.63241	1
-1.52176	1.62051	1
-1.53375	1.60779	1
-1.54633	1.59569	1
-1.55812	1.58279	1
-1.5705	1.5705	1
-1.58279	1.55812	1
-1.59569	1.54633	1
-1.60779	1.53375	1
-1.62051	1.52176	1
-1.63241	1.50899	1
-1.64496	1.49679	1
-1.6574	1.4845	1
-1.66976	1.47209	1
-1.68203	1.45959	1
-1.6942	1.44698	1
-1.70704	1.43492	1
-1.71903	1.42211	1
-1.7317	1.40982	1
-1.74428	1.39743	1
-1.75677	1.38493	1
-1.76917	1.37231	1
-1.78149	1.35959	1
-1.79451	1.34735	1
-1.80664	1.33441	1
-1.81949	1.32194	1
-1.83226	1.30935	1
-1.84494	1.29665	1
-1.85754	1.28382	1
-1.87004	1.27088	1
-1.88329	1.25838	1
-1.89646	1.24574	1
-1.90871	1.23244	1
-1.92171	1.21955	1
-1.93462	1.20654	1
-1.9483	1.19392	1
-1.96104	1.18064	1
-1.9737	1.16724	1
-1.98713	1.15421	1
-2.00047	1.14105	1
-2.01373	1.12775	1
-2.02691	1.1143	1
-2.04088	1.1012	1
-2.05388	1.08748	1
-2.06769	1.07408	1
-2.0814	1.06053	1
-2.09503	1.04683	1
-2.10858	1.03298	1
-2.12204	1.01899	1
-2.13631	1.00527	1
-2.15049	0.991391	1
-2.16459	0.977351	1
-2.1786	0.96315	1
-2.19252	0.94879	1
-2.20727	0.93466	1
-2.22101	0.919974	1
-2.23558	0.905505	1
-2.251	0.891232	1
-2.26539	0.876412	1
-2.27968	0.86142	1
-2.29482	0.846604	1
-2.30987	0.831603	1
-2.32482	0.816418	1
-2.34062	0.801373	1
-2.35538	0.785813	1
-2.37099	0.77038	1
-2.3865	0.75475	1
-2.40286	0.739217	1
-2.41818	0.723188	1
-2.43434	0.707242	1
-2.45041	0.691087	1
-2.46637	0.674723	1
-2.48319	0.658406	1
-2.49991	0.641867	1
-2.51652	0.625106	1
-2.53302	0.608124	1
-2.55038	0.591146	1
-2.56763	0.573933	1
-2.58477	0.556485	1
-2.60276	0.539007	1
-2.62065	0.521279	1
-2.63841	0.503304	1
-2.65605	0.485082	1
-2.67456	0.466785	1
-2.69294	0.448228	1
-2.71218	0.429566	1
-2.73129	0.410631	1
-2.75027	0.391421	1
-2.76911	0.371938	1
-2.78881	0.352309	1
-2.80937	0.332511	1
-2.82879	0.312301	1
-2.85005	0.292011	1
-2.87018	0.271312	1
-2.89115	0.250401	1
-2.91197	0.229177	1
-2.93362	0.207712	1
-2.95612	0.185983	1
-2.97746	0.16386	1
-2.99963	0.141459	1
-3.02263	0.118759	1
-3.04546	0.0957074	1
-3.06911	0.0723275	1
-3.09258	0.0485821	1
-3.11686	0.0244803	1
-3.14095	-0	1
-3.11686	-0.0244803	1
-3.09258	-0.0485821	1
-3.06911	-0.0723275	1
-3.04546	-0.0957074	1
-3.02263	-0.118759	1
-2.99963	-0.141459	1
-2.97746	-0.16386	1
-2.95612	-0.185983	1
-2.93362	-0.207712	1
-2.91197	-0.229177	1
-2.89115	-0.250401	1
-2.87018	-0.271312	1
-2.85005	-0.292011	1
-2.82879	-0.312301	1
-2.80937	-0.332511	1
-2.78881	-0.352309	1
-2.76911	-0.371938	1
-2.75027	-0.391421	1
-2.73129	-0.410631	1
-2.71218	-0.429566	1
-2.69294	-0.448228	1
-2.67456	-0.466785	1
-2.65605	-0.485082	1
-2.63841	-0.503304	1
-2.62065	-0.521279	1
-2.60276	-0.539007	1
-2.58477	-0.556485	1
-2.56763	-0.573933	1
-2.55038	-0.591146	1
-2.53302	-0.608124	1
-2.51652	-0.625106	1
-2.49991	-0.641867	1
-2.48319	-0.658406	1
-2.46637	-0.674723	1
-2.45041	-0.691087	1
-2.43434	-0.707242	1
-2.41818	-0.723188	1
-2.40286	-0.739217	1
-2.3865	-0.75475	1
-2.37099	-0.77038	1
-2.35538	-0.785813	1
-2.34062	-0.801373	1
-2.32482	-0.816418	1
-2.30987	-0.831603	1
-2.29482	-0.846604	1
-2.27968	-0.86142	1
-2.26539	-0.876412	1
-2.251	-0.891232	1
-2.23558	-0.905505	1
-2.22101	-0.919974	1
-2.20727	-0.93466	1
-2.19252	-0.94879	1
-2.1786	-0.96315	1
-2.16459	-0.977351	1
-2.15049	-0.991391	1
-2.13631	-1.00527	1
-2.12204	-1.01899	1
-2.10858	-1.03298	1
-2.09503	-1.04683	1
-2.0814	-1.06053	1
-2.06769	-1.07408	1
-2.05388	-1.08748	1
-2.04088	-1.1012	1
-2.02691	-1.1143	1
-2.01373	-1.12775	1
-2.00047	-1.14105	1
-1.98713	-1.15421	1
-1.9737	-1.16724	1
-1.96104	-1.18064	1
-1.9483	-1.19392	1
-1.93462	-1.20654	1
-1.92171	-1.21955	1
-1.90871	-1.23244	1
-1.89646	-1.24574	1
-1.88329	-1.25838	1
-1.87004	-1.27088	1
-1.85754	-1.28382	1
-1.84494	-1.29665	1
-1.83226	-1.30935	1
-1.81949	-1.32194	1
-1.80664	-1.33441	1
-1.79451	-1.34735	1
-1.78149	-1.35959	1
-1.76917	-1.37231	1
-1.75677	-1.38493	1
-1.74428	-1.39743	1
-1.7317	-1.40982	1
-1.71903	-1.42211	1
-1.70704	-1.43492	1
-1.6942	-1.44698	1
-1.68203	-1.45959	1
-1.66976	-1.47209	1
-1.6574	-1.4845	1
-1.64496	-1.49679	1
-1.63241	-1.50899	1
-1.62051	-1.52176	1
-1.60779	-1.53375	1
-1.59569	-1.54633	1
-1.58279	-1.55812	1
-1.5705	-1.5705	1
-1.55812	-1.58279	1
-1.54633	-1.59569	1
-1.53375	-1.60779	1
-1.52176	-1.62051	1
-1.50899	-1.63241	1
-1.49679	-1.64496	1
-1.4845	-1.6574	1
-1.47209	-1.66976	1
-1.45959	-1.68203	1
-1.44698	-1.6942	1
-1.43492	-1.70704	1
-1.42211	-1.71903	1
-1.40982	-1.7317	1
-1.39743	-1.74428	1
-1.38493	-1.75677	1
-1.37231	-1.76917	1
-1.35959	-1.78149	1
-1.34735	-1.79451	1
-1.33441	-1.80664	1
-1.32194	-1.81949	1
-1.30935	-1.83226	1
-1.29665	-1.84494	1
-1.28382	-1.85754	1
-1.27088	-1.87004	1
-1.25838	-1.88329	1
-1.24574	-1.89646	1
-1.23244	-1.90871	1
-1.21955	-1.92171	1
-1.20654	-1.93462	1
-1.19392	-1.9483	1
-1.18064	-1.96104	1
-1.16724	-1.9737	1
-1.15421	-1.98713	1
-1.14105	-2.00047	1
-1.12775	-2.01373	1
-1.1143	-2.02691	1
-1.1012	-2.04088	1
-1.08748	-2.05388	1
-1.07408	-2.06769	1
-1.06053	-2.0814	1
-1.04683	-2.09503	1
-1.03298	-2.10858	1
-1.01899	-2.12204	1
-1.00527	-2.13631	1
-0.991391	-2.15049	1
-0.977351	-2.16459	1
-0.96315	-2.1786	1
-0.94879	-2.19252	1
-0.93466	-2.20727	1
-0.919974	-2.22101	1
-0.905505	-2.23558	1
-0.891232	-2.251	1
-0.876412	-2.26539	1
-0.86142	-2.27968	1
-0.846604	-2.29482	1
-0.831603	-2.30987	1
-0.816418	-2.32482	1
-0.801373	-2.34062	1
-0.785813	-2.35538	1
-0.77038	-2.37099	1
-0.75475	-2.3865	1
-0.739217	-2.40286	1
-0.723188	-2.41818	1
-0.707242	-2.43434	1
-0.691087	-2.45041	1
-0.674723	-2.46637	1
-0.658406	-2.48319	1
-0.641867	-2.49991	1
-0.625106	-2.51652	1
-0.608124	-2.53302	1
-0.591146	-2.55038	1
-0.573933	-2.56763	1
-0.556485	-2.58477	1
-0.539007	-2.60276	1
-0.521279	-2.62065	1
-0.503304	-2.63841	1
-0.485082	-2.65605	1
-0.466785	-2.67456	1
-0.448228	-2.69294	1
-0.429566	-2.71218	1
-0.410631	-2.73129	1
-0.391421	-2.75027	1
-0.371938	-2.76911	1
-0.352309	-2.78881	1
-0.332511	-2.80937	1
-0.312301	-2.82879	1
-0.292011	-2.85005	1
-0.271312	-2.87018	1
-0.250401	-2.89115	1
-0.229177	-2.91197	1
-0.207712	-2.93362	1
-0.185983	-2.95612	1
-0.16386	-2.97746	1
-0.141459	-2.99963	1
-0.118759	-3.02263	1
-0.0957074	-3.04546	1
-0.0723275	-3.06911	1
-0.0485821	-3.09258	1
-0.0244803	-3.11686	1
0	-3.14095	1
0.0244803	-3.11686	1
0.0485821	-3.09258	1
0.0723275	-3.06911	1
0.0957074	-3.04546	1
0.118759	-3.02263	1
0.141459	-2.99963	1
0.16386	-2.97746	1
0.185983	-2.95612	1
0.207712	-2.93362	1
0.229177	-2.91197	1
0.250401	-2.89115	1
0.271312	-2.87018	1
0.292011	-2.85005	1
0.312301	-2.82879	1
0.332511	-2.80937	1
0.352309	-2.78881	1
0.371938	-2.76911	1
0.391421	-2.75027	1
0.410631	-2.73129	1
0.429566	-2.71218	1
0.448228	-2.69294	1
0.466785	-2.67456	1
0.485082	-2.65605	1
0.503304	-2.63841	1
0.521279	-2.62065	1
0.539007	-2.60276	1
0.556485	-2.58477	1
0.573933	-2.56763	1
0.591146	-2.55038	1
0.608124	-2.53302	1
0.625106	-2.51652	1
0.641867	-2.49991	1
0.658406	-2.48319	1
0.674723	-2.46637	1
0.691087	-2.45041	1
0.707242	-2.43434	1
0.723188	-2.41818	1
0.739217	-2.40286	1
0.75475	-2.3865	1
0.77038	-2.37099	1
0.785813	-2.35538	1
0.801373	-2.34062	1
0.816418	-2.32482	1
0.831603	-2.30987	1
0.846604	-2.29482	1
0.86142	-2.27968	1
0.876412	-2.26539	1
0.891232	-2.251	1
0.905505	-2.23558	1
0.919974	-2.22101	1
0.93466	-2.20727	1
0.94879	-2.19252	1
0.96315	-2.1786	1
0.977351	-2.16459	1
0.991391	-2.15049	1
1.00527	-2.13631	1
1.01899	-2.12204	1
1.03298	-2.10858	1
1.04683	-2.09503	1
1.06053	-2.0814	1
1.07408	-2.06769	1
1.08748	-2.05388	1
1.1012	-2.04088	1
1.1143	-2.02691	1
1.12775	-2.01373	1
1.14105	-2.00047	1
1.15421	-1.98713	1
1.16724	-1.9737	1
1.18064	-1.96104	1
1.19392	-1.9483	1
1.20654	-1.93462	1
1.21955	-1.92171	1
1.23244	-1.90871	1
1.24574	-1.89646	1
1.25838	-1.88329	1
1.27088	-1.87004	1
1.28382	-1.85754	1
1.29665	-1.84494	1
1.30935	-1.83226	1
1.32194	-1.81949	1
1.33441	-1.80664	1
1.34735	-1.79451	1
1.35959	-1.78149	1
1.37231	-1.76917	1
1.38493	-1.75677	1
1.39743	-1.74428	1
1.40982	-1.7317	1
1.42211	-1.71903	1
1.43492	-1.70704	1
1.44698	-1.6942	1
1.45959	-1.68203	1
1.47209	-1.66976	1
1.4845	-1.6574	1
1.49679	-1.64496	1
1.50899	-1.63241	1
1.52176	-1.62051	1
1.53375	-1.60779	1
1.54633	-1.59569	1
1.55812	-1.58279	1
1.5705	-1.5705	1
1.58279	-1.55812	1
1.59569	-1.54633	1
1.60779	-1.53375	1
1.62051	-1.52176	1
1.63241	-1.50899	1
1.64496	-1.49679	1
1.6574	-1.4845	1
1.66976	-1.47209	1
1.68203	-1.45959	1
1.6942	-1.44698	1
1.70704	-1.43492	1
1.71903	-1.42211	1
1.7317	-1.40982	1
1.74428	-1.39743	1
1.75677	-1.38493	1
1.76917	-1.37231	1
1.78149	-1.35959	1
1.79451	-1.34735	1
1.80664	-1.33441	1
1.81949	-1.32194	1
1.83226	-1.30935	1
1.84494	-1.29665	1
1.85754	-1.28382	1
1.87004	-1.27088	1
1.88329	-1.25838	1
1.89646	-1.24574	1
1.90871	-1.23244	1
1.92171	-1.21955	1
1.93462	-1.20654	1
1.9483	-1.19392	1
1.96104	-1.18064	1
1.9737	-1.16724	1
1.98713	-1.15421	1
2.00047	-1.14105	1
2.01373	-1.12775	1
2.02691	-1.1143	1
2.04088	-1.1012	1
2.05388	-1.08748	1
2.06769	-1.07408	1
2.0814	-1.06053	1
2.09503	-1.04683	1
2.10858	-1.03298	1
2.12204	-1.01899	1
2.13631	-1.00527	1
2.15049	-0.991391	1
2.16459	-0.977351	1
2.1786	-0.96315	1
2.19252	-0.94879	1
2.20727	-0.93466	1
2.22101	-0.919974	1
2.23558	-0.905505	1
2.251	-0.891232	1
2.26539	-0.876412	1
2.27968	-0.86142	1
2.29482	-0.846604	1
2.30987	-0.831603	1
2.32482	-0.816418	1
2.34062	-0.801373	1
2.35538	-0.785813	1
2.37099	-0.77038	1
2.3865	-0.75475	1
2.40286	-0.739217	1
2.41818	-0.723188	1
2.43434	-0.707242	1
2.45041	-0.691087	1
2.46637	-0.674723	1
2.48319	-0.658406	1
2.49991	-0.641867	1
2.51652	-0.625106	1
2.53302	-0.608124	1
2.55038	-0.591146	1
2.56763	-0.573933	1
2.58477	-0.556485	1
2.60276	-0.539007	1
2.62065	-0.521279	1
2.63841	-0.503304	1
2.65605	-0.485082	1
2.67456	-0.466785	1
2.69294	-0.448228	1
2.71218	-0.429566	1
2.73129	-0.410631	1
2.75027	-0.391421	1
2.76911	-0.371938	1
2.78881	-0.352309	1
2.80937	-0.332511	1
2.82879	-0.312301	1
2.85005	-0.292011	1
2.87018	-0.271312	1
2.89115	-0.250401	1
2.91197	-0.229177	1
2.93362	-0.207712	1
2.95612	-0.185983	1
2.97746	-0.16386	1
2.99963	-0.141459	1
3.02263	-0.118759	1
3.04546	-0.0957074	1
3.06911	-0.0723275	1
3.09258	-0.0485821	1
3.11686	-0.0244803	1
